Number of Elements,Standard Merge Sort Time (in ns),Parallel Merge Sort Time (in ns),Partially Parallel Merge Sort Time (in ns),Java Parallel Merge Sort Time (in ns)
982467,107242200,95207100,22701800,124353000
193699,17312500,21984200,5926900,32622700
618546,60967900,15436800,11730000,2951500
53347,4803500,2026300,1708900,347300
924621,89152200,22124500,16891700,4468100
768296,74877400,30423900,14773600,3193600
602248,57308100,14488800,11905400,2555600
688735,65995900,16372400,13557400,3092100
410476,37258200,10053100,7712200,1760600
67916,6223600,2099300,1869200,338800
979091,94376200,22111600,19409800,4819900
473544,43200700,11552800,10264100,2278300
381220,33928800,9005100,7178400,1764700
781839,74814100,19163800,14881800,3526400
22028,1715700,1337200,1125200,199300
852154,84497300,20353300,17709200,3786700
834873,81406000,20274700,16178200,3736700
621479,59871300,15624800,12341200,2853700
81958,6815400,2419200,2136900,484700
393535,35056100,9424300,7429400,1808400
413547,37579900,9984600,7886900,1811800
651797,62198100,16517000,12517100,3043300
94563,7969400,2741900,2347000,500300
334009,29816400,9047000,6415400,1469500
24032,1825500,1191500,1161500,206200
393378,35050300,9200900,7692500,1810300
79299,6748200,2991500,2017700,419600
230504,20016100,5554300,4726500,1093300
303008,26972400,7105900,6095100,1527100
545659,52284200,12402400,9981000,2461800
293910,26099500,8044300,5711700,1390700
913305,85836700,21577000,17069100,4008000
646458,62472700,15786600,12842600,2888200
763238,73490200,18005900,14381500,3596300
392115,35705700,10401800,7322700,1943900
614380,58642500,14272100,12353200,2821500
345219,31746500,8002600,6440000,1597300
938080,89816800,21378200,18115000,4390700
484417,44806400,11532600,9457500,2142100
558592,54316500,12685400,10987000,2498900
884094,85976200,21394000,16458600,3869600
854421,83542700,19619900,16109300,3886100
155570,13738300,4045200,3658600,723700
43069,3649800,1510900,1441400,290600
377303,33806500,8698100,8209200,1690300
764539,74204000,18382600,16209400,3551900
47120,4092200,1750000,1559900,282200
478525,44145900,11104400,10485700,2287500
352458,31681200,8189700,6714300,1648600
38476,3358700,1491100,1372800,286600
735471,72134800,17736900,15090400,3393100
175703,15697100,5379400,3665000,899400
529185,49712200,12683200,9688300,2338600
471454,45015400,11025700,9423400,2200900
586819,55953100,14528500,11110200,2610900
133706,11860700,3504300,3027000,636500
779738,77814400,19003300,15000800,3511200
484320,45975800,11648500,9082600,2374300
804810,78582100,18471200,15847500,3941800
985667,96645400,22764500,18719800,4454700
64358,5948700,2122500,1868100,388400
108467,9275800,3020400,2673600,533600
644265,61375900,16705100,13094800,3129900
241099,21192900,5952600,5360300,1270400
820110,80313800,18960200,16515000,3859400
291811,25993800,6977000,5813900,1400500
728597,70353200,17573000,14516600,3269300
687056,66298100,16228900,12592600,3057500
